"Label (Grouping)","Santa Clara County, California!!Total!!Estimate","Santa Clara County, California!!Total!!Margin of Error","Santa Clara County, California!!Male!!Estimate","Santa Clara County, California!!Female!!Estimate","Santa Clara County, California!!Female!!Margin of Error"
"Total population","1,870,945","*****","956,477","914,468","±1,301"
"    AGE","","","","",""
"        Under 5 years","95,366","±531","48,820","46,546","±1,031"
"        5 to 9 years","100,274","±3,971","51,632","48,642","±2,527"
"        10 to 14 years","111,696","±3,969","57,153","54,543","±2,514"
"        15 to 19 years","117,573","±798","60,673","56,900","±675"
"        20 to 24 years","119,698","±1,006","62,398","57,300","±804"
"        25 to 29 years","140,696","±854","75,553","65,143","±554"
"        30 to 34 years","158,130","±1,295","87,152","70,978","±182"
"        35 to 39 years","141,772","±5,248","75,272","66,500","±3,178"
"        40 to 44 years","127,166","±5,379","66,142","61,024","±3,193"
"        45 to 49 years","122,796","±960","63,121","59,675","±601"
"        50 to 54 years","126,345","±618","64,923","61,422","±254"
"        55 to 59 years","113,901","±4,603","58,942","54,959","±2,901"
"        60 to 64 years","113,388","±4,634","57,241","56,147","±2,855"
"        65 to 69 years","89,056","±3,128","42,010","47,046","±2,156"
"        70 to 74 years","66,779","±3,221","32,473","34,306","±2,206"
"        75 to 79 years","52,505","±2,570","23,471","29,034","±1,901"
"        80 to 84 years","36,109","±2,510","15,326","20,783","±1,850"
"        85 years and over","37,695","±2,445","14,175","23,520","±1,744"
"    SELECTED AGE CATEGORIES","","","","",""
"        5 to 14 years","211,970","±301","108,785","103,185","±140"
"        15 to 17 years","70,456","±141","36,696","33,760","±422"
"        Under 18 years","377,792","±405","194,301","183,491","±1,112"
"        18 to 24 years","166,815","±655","86,375","80,440","±503"
"        15 to 44 years","805,035","±1,066","427,190","377,845","±753"
"        16 years and over","1,539,606","±2,404","786,411","753,195","±1,715"
"        18 years and over","1,493,153","±405","762,176","730,977","±776"
"        21 years and over","1,422,552","±2,802","724,599","697,953","±1,906"
"        60 years and over","395,532","±4,602","184,696","210,836","±2,839"
"        62 years and over","349,410","±3,994","159,893","189,517","±2,580"
"        65 years and over","282,144","±514","127,455","154,689","±250"
"        75 years and over","126,309","±346","52,972","73,337","±267"
"    SUMMARY INDICATORS","","","","",""
"        Median age (years)","38.3","±0.2","37.3","39.3","±0.3"
"        Sex ratio (males per 100 females)","104.6","±0.3","(X)","(X)","(X)"
"        Age dependency ratio","54.5","±0.1","(X)","(X)","(X)"
"        Old-age dependency ratio","23.3","±0.1","(X)","(X)","(X)"
"        Child dependency ratio","31.2","±0.1","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","",""
"        Sex","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","(X)","(X)","(X)"